 Iteration   Func-count     min f(x)         Procedure
   327          493          3.97105         reflect
   328          494          3.97105         reflect
   329          495          3.97105         reflect
   330          497          3.97105         contract outside
   331          498          3.97105         reflect
   332          499          3.97105         reflect
   333          501          3.97105         contract outside
   334          502          3.97105         reflect
   335          503          3.97105         reflect
   336          504          3.97105         reflect
   337          505          3.97105         reflect
   338          506          3.97105         reflect
   339          508          3.97105         contract inside
   340          509          3.97105         reflect
   341          511          3.97105         contract inside
   342          512          3.97105         reflect
   343          514          3.97105         contract inside
   344          515          3.97105         reflect
   345          517          3.97105         contract inside
   346          519          3.97105         contract inside
   347          520          3.97105         reflect
   348          521          3.97105         reflect
   349          523          3.97105         contract inside
   350          524          3.97105         reflect
   351          525          3.97105         reflect
   352          526          3.97105         reflect
   353          528          3.96261         contract inside
   354          530          3.96135         contract inside
   355          532          3.96034         contract inside
   356          533          3.96034         reflect
   357          535          3.96034         contract inside
   358          537          3.96034         contract inside
   359          539          3.96034         contract inside
   360          540          3.96034         reflect
   361          542          3.96034         contract inside
   362          544           3.9552         contract inside
   363          546           3.9552         contract inside
   364          548           3.9552         contract outside
   365          549           3.9552         reflect
   366          550           3.9552         reflect
   367          551           3.9552         reflect
   368          552           3.9552         reflect
   369          553           3.9552         reflect
   370          555          3.95349         contract inside
   371          557          3.95024         contract inside
   372          558          3.95024         reflect
   373          560          3.95024         contract inside
   374          562          3.95024         contract inside
   375          563          3.95024         reflect
   376          565          3.95024         contract inside
   377          567          3.95024         contract inside
   378          568          3.95024         reflect
   379          569          3.95024         reflect
   380          571          3.95024         contract inside
   381          573          3.95024         contract inside
   382          574          3.95024         reflect
   383          576          3.94701         contract inside
   384          577          3.94701         reflect
   385          596          3.94262         shrink
   386          597          3.94262         reflect
   387          598          3.94262         reflect
   388          600          3.93977         reflect
   389          602          3.93977         contract outside
   390          604          3.93977         contract inside
   391          605          3.93977         reflect
   392          606          3.93977         reflect
   393          608          3.93977         contract inside
   394          609          3.93977         reflect
   395          611          3.93977         contract inside
   396          630          3.93977         shrink
   397          631          3.93977         reflect
   398          632          3.93977         reflect
   399          633          3.93977         reflect
   400          634          3.93977         reflect
   401          635          3.93977         reflect
   402          637          3.93977         contract inside
   403          638          3.93977         reflect
   404          640          3.93977         contract inside
   405          642          3.93977         contract inside
   406          643          3.93977         reflect
   407          644          3.93977         reflect
   408          646          3.93977         contract inside
   409          647          3.93977         reflect
   410          648          3.93977         reflect
   411          667          3.93977         shrink
   412          668          3.93977         reflect
   413          669          3.93977         reflect
   414          670          3.93977         reflect
   415          671          3.93977         reflect
   416          673          3.93977         contract inside
   417          675          3.93977         contract inside
   418          694          3.93967         shrink
   419          695          3.93967         reflect
   420          696          3.93967         reflect
   421          697          3.93967         reflect
   422          698          3.93967         reflect
   423          700          3.93967         contract inside
   424          702          3.93967         contract inside
   425          703          3.93967         reflect
   426          704          3.93967         reflect
   427          705          3.93967         reflect
   428          707          3.93967         contract inside
   429          708          3.93967         reflect
   430          709          3.93967         reflect
   431          710          3.93967         reflect
   432          711          3.93967         reflect
   433          730          3.93967         shrink
   434          731          3.93967         reflect
   435          732          3.93967         reflect
   436          751          3.93967         shrink
   437          752          3.93967         reflect
   438          753          3.93967         reflect
   439          754          3.93967         reflect
   440          755          3.93967         reflect
   441          757          3.93964         expand
   442          759          3.93964         contract inside
   443          760          3.93964         reflect
   444          761          3.93964         reflect
   445          780          3.93964         shrink
   446          781          3.93964         reflect
