Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  282         56400         0.0075985          0.981888
  283         56600        0.00761965          0.994925
  284         56800        0.00767287          0.988491
  285         57000        0.00816135           0.96894
  286         57200        0.00803171           1.00044
  287         57400        0.00789997           1.04972
  288         57600        0.00789254           1.04026
  289         57800        0.00845064          0.937496
  290         58000         0.0086384          0.907888
  291         58200        0.00917014          0.785948
  292         58400        0.00885749          0.825165
  293         58600        0.00974232          0.689773
  294         58800        0.00943959          0.721103
  295         59000        0.00955435          0.694266
  296         59200         0.0100746          0.647072
  297         59400         0.0103437           0.56666
  298         59600        0.00955112          0.685622
  299         59800        0.00915878          0.743966
  300         60000        0.00939826          0.738429

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  301         60200        0.00997421          0.653069
  302         60400         0.0134088          0.811105
  303         60600          0.012405          0.914533
  304         60800         0.0113666           1.00987
  305         61000         0.0109853           1.05827
  306         61200          0.012321          0.907662
  307         61400         0.0112727           1.01553
  308         61600         0.0109405           1.06774
  309         61800         0.0106853           1.10311
  310         62000         0.0103365            1.1447
  311         62200         0.0103739           1.14884
  312         62400         0.0110212           1.03419
  313         62600         0.0104316           1.11984
  314         62800         0.0102231           1.15521
  315         63000         0.0104655           1.11482
  316         63200         0.0102473           1.19417
  317         63400        0.00975853           1.26988
  318         63600        0.00972988           1.25637
  319         63800         0.0097399           1.26823
  320         64000        0.00982764           1.26056
  321         64200         0.0097356           1.27333
  322         64400        0.00973815           1.21592
  323         64600        0.00973655           1.28802
  324         64800         0.0097376           1.29186
  325         65000         0.0097381           1.31885
  326         65200         0.0097303           1.30393
  327         65400        0.00972985           1.30537
  328         65600        0.00973708           1.31317
  329         65800        0.00972577           1.29288
  330         66000        0.00972232           1.28732

                              Average            Average
