Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  339            64620           2.714           3.209        0
  340            64810           2.714           3.271        1
  341            65000           2.714           3.082        0
  342            65190           2.714           3.178        1
  343            65380           2.714           3.115        0
  344            65570           2.714           3.167        1
  345            65760           2.714            2.97        0
  346            65950           2.713           3.157        0
  347            66140           2.713           3.467        0
  348            66330           2.713           4.102        1
  349            66520           2.713           4.136        0
  350            66710           2.713           5.202        1
  351            66900           2.713           5.298        0
  352            67090           2.713             5.7        1
  353            67280           2.713           4.901        0
  354            67470           2.713           5.251        0
  355            67660           2.713           8.432        1
  356            67850           2.713           6.301        2
  357            68040           2.713           5.274        3
  358            68230           2.713           4.516        4
  359            68420           2.713            4.12        5
  360            68610           2.713            4.06        6

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  361            68800           2.713           2.919        7
  362            68990           2.713           2.832        0
  363            69180           2.713            2.74        0
  364            69370           2.713           2.761        0
  365            69560           2.713           2.847        1
  366            69750           2.713            2.82        2
  367            69940           2.713           2.799        3
  368            70130           2.712            2.77        0
  369            70320           2.712           2.766        0
  370            70510           2.712           2.761        0
  371            70700           2.712           2.843        0
  372            70890           2.711            3.05        0
  373            71080           2.711           3.542        0
  374            71270            2.71           4.306        0
  375            71460            2.71           9.181        1
  376            71650            2.71           6.376        0
  377            71840            2.71              10        0
  378            72030            2.71           10.68        1
  379            72220            2.71           10.01        0
  380            72410            2.71           12.16        0
  381            72600            2.71           13.97        0
  382            72790            2.71           14.75        1
  383            72980            2.71           14.55        0
  384            73170            2.71           18.04        1
  385            73360            2.71           18.23        2
  386            73550            2.71           13.97        3
  387            73740            2.71           12.47        4
  388            73930            2.71           9.659        5
  389            74120            2.71            7.44        6
  390            74310           2.697           5.523        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  391            74500           2.697           5.017        0
  392            74690           2.697           5.266        1
  393            74880           2.697           4.791        2
  394            75070           2.697           4.445        3
  395            75260           2.693           4.323        0
  396            75450           2.687           4.458        0
  397            75640           2.687           5.299        0
  398            75830           2.686           5.365        0
  399            76020           2.686           8.649        0
  400            76210           2.685           10.09        0
  401            76400           2.684           10.38        0
  402            76590           2.684           14.37        0
  403            76780           2.684           28.33        1
  404            76970           2.683           31.56        0
  405            77160           2.683           28.81        1
  406            77350           2.683           20.07        2
  407            77540           2.683           19.25        3
  408            77730           2.683           18.21        4
  409            77920           2.683           15.74        5
  410            78110           2.683           10.12        6
  411            78300            2.68           6.088        0
  412            78490            2.68           5.871        1
  413            78680            2.68           4.907        2
  414            78870           2.679           4.118        0
  415            79060           2.678           4.091        0
  416            79250           2.678           5.504        0
  417            79440           2.678           6.307        1
  418            79630           2.678            6.14        2
  419            79820           2.678           5.559        0
