Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  339            64620           2.557           3.163        1
  340            64810           2.557           3.103        0
  341            65000           2.557           3.409        1
  342            65190           2.557           3.293        0
  343            65380           2.557           3.382        1
  344            65570           2.557           2.885        0
  345            65760           2.557           3.059        1
  346            65950           2.557           3.045        2
  347            66140           2.556           2.963        0
  348            66330           2.556           2.837        0
  349            66520           2.556           3.018        0
  350            66710           2.556           3.961        0
  351            66900           2.556           5.028        1
  352            67090           2.556           4.355        2
  353            67280           2.556           3.993        3
  354            67470           2.556           3.437        0
  355            67660           2.556           3.173        1
  356            67850           2.556           3.036        2
  357            68040           2.556           2.946        3
  358            68230           2.556           2.785        0
  359            68420           2.556           2.776        0
  360            68610           2.556           2.858        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  361            68800           2.556           2.844        0
  362            68990           2.556           2.986        1
  363            69180           2.556           2.888        2
  364            69370           2.556            2.69        0
  365            69560           2.556            2.67        0
  366            69750           2.556           2.761        0
  367            69940           2.556           3.106        0
  368            70130           2.556           4.234        0
  369            70320           2.556           8.712        1
  370            70510           2.556           5.128        2
  371            70700           2.556           4.357        0
  372            70890           2.556           4.465        1
  373            71080           2.556           3.727        0
  374            71270           2.556           4.094        1
  375            71460           2.556           3.891        0
  376            71650           2.556           4.885        1
  377            71840           2.556           4.079        2
  378            72030           2.556           3.321        3
  379            72220           2.556           2.944        4
  380            72410           2.556            2.88        0
  381            72600           2.556           2.765        1
  382            72790           2.555           2.627        0
  383            72980           2.555           2.624        1
  384            73170           2.555           2.594        0
  385            73360           2.555           2.633        0
  386            73550           2.555           2.764        0
  387            73740           2.555           2.961        1
  388            73930           2.555           2.903        0
  389            74120           2.555           3.206        1
  390            74310           2.555           3.094        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  391            74500           2.554           2.828        0
  392            74690           2.554           2.926        0
  393            74880           2.554           3.138        0
  394            75070           2.554           4.036        1
  395            75260           2.554           3.767        2
  396            75450           2.554           3.289        3
  397            75640           2.554           3.016        0
  398            75830           2.554            2.87        1
  399            76020           2.554           2.711        0
  400            76210           2.554           2.776        0
  401            76400           2.554           3.327        1
  402            76590           2.554           3.224        2
  403            76780           2.554            3.03        0
  404            76970           2.554           2.853        1
  405            77160           2.554           2.804        0
  406            77350           2.554           2.969        1
  407            77540           2.554           2.854        0
  408            77730           2.554            2.87        0
  409            77920           2.554           3.193        1
  410            78110           2.554           3.079        2
  411            78300           2.554           2.798        0
  412            78490           2.554           2.853        0
  413            78680           2.554           3.081        0
  414            78870           2.554           3.695        1
  415            79060           2.554            3.45        2
  416            79250           2.554           3.155        3
  417            79440           2.554           2.789        4
  418            79630           2.554           2.719        0
  419            79820           2.554             2.7        1
  420            80010           2.554           2.687        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  421            80200           2.554           2.669        0
  422            80390           2.554           3.007        0
  423            80580           2.553           3.151        0
  424            80770           2.553           3.798        0
  425            80960           2.553           5.662        1
  426            81150           2.553           5.322        2
  427            81340           2.553           4.833        3
  428            81530           2.553           4.417        0
  429            81720           2.553           3.785        1
  430            81910           2.553           3.351        2
  431            82100           2.553           3.102        3
  432            82290           2.553           2.921        0
  433            82480           2.553            2.68        1
  434            82670           2.553           2.622        2
  435            82860           2.553           2.595        0
  436            83050           2.553           2.596        0
  437            83240           2.553           2.639        0
  438            83430           2.553           2.744        0
  439            83620           2.553           2.935        0
  440            83810           2.553           3.777        0
  441            84000           2.553           5.205        0
  442            84190           2.553           8.259        1
  443            84380           2.553           8.935        0
  444            84570           2.553           10.08        0
  445            84760           2.553           10.89        1
  446            84950           2.553           9.951        0
  447            85140           2.553           10.36        0
  448            85330           2.553           18.15        1
  449            85520           2.553            20.4        2
  450            85710           2.553            13.6        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  451            85900           2.553           10.34        4
  452            86090           2.553           7.216        5
  453            86280           2.553             6.4        6
  454            86470           2.553           4.061        7
  455            86660           2.553           3.238        8
  456            86850           2.553           2.756        0
  457            87040           2.553           2.746        1
  458            87230           2.553           2.666        2
  459            87420           2.553           2.589        0
  460            87610           2.553           2.592        0
  461            87800           2.552           2.668        0
  462            87990           2.552           2.811        0
  463            88180           2.552           3.203        0
  464            88370           2.552           4.159        1
  465            88560           2.552           3.842        0
  466            88750           2.552           4.377        1
  467            88940           2.552           3.871        2
  468            89130           2.552           3.094        0
  469            89320           2.552           3.073        0
  470            89510           2.552           4.174        1
  471            89700           2.552           3.644        2
  472            89890           2.552           3.299        3
  473            90080           2.552           3.286        4
  474            90270           2.552           2.905        0
  475            90460           2.552           2.875        1
  476            90650           2.552           2.764        2
  477            90840           2.552           2.661        0
  478            91030           2.552            2.67        0
  479            91220           2.552           2.634        0
  480            91410           2.552           2.765        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  481            91600           2.552           3.161        0
  482            91790           2.552           3.755        0
  483            91980           2.552           5.542        0
  484            92170           2.552           7.788        0
  485            92360           2.552           11.18        0
  486            92550           2.552           9.112        0
  487            92740           2.552            15.1        0
  488            92930           2.552           27.42        0
  489            93120           2.552           28.39        0
  490            93310           2.552           27.47        1
  491            93500           2.552            27.6        2
  492            93690           2.552           23.83        3
  493            93880           2.552           20.39        0
  494            94070           2.552           18.04        1
  495            94260           2.552           16.79        2
  496            94450           2.552           14.24        0
  497            94640           2.552           17.73        1
  498            94830           2.552           16.91        2
  499            95020           2.552           8.978        0
  500            95210           2.552            8.23        1
  501            95400           2.552           9.578        2
  502            95590           2.552           7.565        3
  503            95780           2.552           5.704        0
  504            95970           2.552           6.087        0
  505            96160           2.552           5.601        1
  506            96350           2.552           5.638        2
  507            96540           2.552           4.822        3
  508            96730           2.552           3.758        4
  509            96920           2.552           3.482        5
  510            97110           2.552           3.223        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  511            97300           2.552           3.036        1
  512            97490           2.552           2.872        2
  513            97680           2.552           2.685        0
  514            97870           2.552           2.603        0
  515            98060           2.552           2.661        0
  516            98250           2.552            2.76        0
  517            98440           2.552           3.124        1
  518            98630           2.552           2.969        2
  519            98820           2.552           2.826        0
  520            99010           2.552           2.745        1
  521            99200           2.552           2.659        2
  522            99390           2.552           2.627        3
  523            99580           2.552           2.608        0
  524            99770           2.551            2.59        0
  525            99960           2.551           2.614        1
  526           100150           2.551           2.594        0
  527           100340           2.551           2.607        1
  528           100530           2.551           2.576        2
  529           100720           2.551           2.571        0
  530           100910           2.551           2.579        0
  531           101100           2.551            2.63        0
  532           101290           2.551           2.804        0
  533           101480           2.551           3.399        1
  534           101670           2.551           3.152        2
  535           101860           2.551           2.969        3
  536           102050           2.551           2.794        0
  537           102240           2.551           2.698        0
  538           102430           2.551           2.803        0
  539           102620           2.551           2.949        0
  540           102810           2.551            3.43        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  541           103000           2.551           6.396        0
  542           103190           2.551           9.537        0
  543           103380           2.551           14.06        0
  544           103570           2.551           18.76        1
  545           103760           2.551           19.05        0
  546           103950           2.551           21.48        1
  547           104140           2.551           17.25        2
  548           104330           2.551           13.95        3
  549           104520           2.551           10.16        4
  550           104710           2.551            7.83        5
  551           104900           2.551           4.569        6
  552           105090           2.551           3.908        7
  553           105280           2.551           3.672        8
  554           105470           2.551           3.282        9
  555           105660           2.551           2.986       10
  556           105850           2.551           2.778        0
  557           106040           2.551           2.578        1
  558           106230           2.551           2.564        0
  559           106420           2.551           2.565        0
  560           106610           2.551           2.585        1
  561           106800           2.551           2.575        0
  562           106990           2.551           2.579        0
  563           107180           2.551           2.612        0
  564           107370           2.551           2.702        0
  565           107560            2.55           2.924        0
  566           107750            2.55           3.608        0
  567           107940            2.55            6.97        0
  568           108130            2.55           10.52        1
  569           108320            2.55           10.78        0
  570           108510            2.55           13.32        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  571           108700            2.55           13.88        0
  572           108890            2.55           13.02        0
  573           109080            2.55           19.35        0
  574           109270            2.55           20.13        0
  575           109460            2.55           29.81        0
  576           109650            2.55           26.98        0
  577           109840            2.55           33.55        0
  578           110030            2.55           32.44        0
  579           110220            2.55            33.3        0
  580           110410            2.55           30.12        1
  581           110600            2.55           29.16        2
  582           110790            2.55           25.48        3
  583           110980            2.55           20.69        4
  584           111170            2.55           16.31        5
  585           111360            2.55           10.74        6
  586           111550            2.55           6.774        7
  587           111740            2.55           5.867        8
  588           111930            2.55           5.208        9
  589           112120            2.55           4.927        0
  590           112310            2.55           4.661        1
  591           112500            2.55           4.316        2
  592           112690            2.55           2.956        0
  593           112880            2.55           2.973        1
  594           113070            2.55           2.832        0
  595           113260            2.55           2.853        0
  596           113450            2.55            3.02        0
  597           113640            2.55            3.24        0
  598           113830            2.55           4.063        1
  599           114020            2.55           3.785        0
  600           114210            2.55           4.432        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  601           114400            2.55           5.728        1
  602           114590            2.55           4.979        2
  603           114780            2.55           3.888        3
  604           114970            2.55            3.34        0
  605           115160            2.55           3.324        0
  606           115350            2.55            4.65        1
  607           115540            2.55           4.279        0
  608           115730            2.55           4.793        1
  609           115920            2.55           4.208        0
  610           116110            2.55           4.842        0
  611           116300            2.55           5.849        1
  612           116490            2.55           5.148        2
  613           116680            2.55           4.625        3
  614           116870            2.55           3.946        4
  615           117060            2.55           3.715        5
  616           117250            2.55           3.038        0
  617           117440            2.55           3.008        1
  618           117630            2.55           2.925        2
  619           117820            2.55           2.677        0
  620           118010           2.549           2.688        0
  621           118200           2.549           2.627        0
  622           118390           2.549           2.693        0
  623           118580           2.549            2.89        0
  624           118770           2.549            3.74        1
  625           118960           2.549            3.31        0
  626           119150           2.549           4.271        1
  627           119340           2.549           3.791        2
  628           119530           2.549           3.263        3
  629           119720           2.549           3.043        4
  630           119910           2.549           2.832        5

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  631           120100           2.549           2.703        0
  632           120290           2.549           2.702        0
  633           120480           2.549           2.704        0
  634           120670           2.549           2.753        1
  635           120860           2.549           2.738        0
  636           121050           2.549           2.772        0
  637           121240           2.549           2.987        0
  638           121430           2.548           4.259        0
  639           121620           2.548           5.865        0
  640           121810           2.548           8.088        0
  641           122000           2.548           9.437        1
  642           122190           2.548            9.34        2
  643           122380           2.548           10.59        3
  644           122570           2.548           7.636        4
  645           122760           2.548           6.688        5
  646           122950           2.548           5.479        6
  647           123140           2.548           3.189        7
  648           123330           2.548           2.931        8
  649           123520           2.548           2.852        0
  650           123710           2.548           2.626        0
  651           123900           2.548           2.646        1
  652           124090           2.548           2.602        0
  653           124280           2.548           2.593        0
  654           124470           2.548           2.708        0
  655           124660           2.548             3.1        0
  656           124850           2.548           3.852        0
  657           125040           2.548           5.448        0
  658           125230           2.548           8.303        1
  659           125420           2.548           7.557        2
  660           125610           2.547           5.999        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  661           125800           2.547           5.661        1
  662           125990           2.547           5.175        2
  663           126180           2.547           4.057        0
  664           126370           2.547           4.222        1
  665           126560           2.547            3.76        0
  666           126750           2.547           4.225        0
  667           126940           2.547            5.98        1
  668           127130           2.547           5.129        2
  669           127320           2.547           4.062        0
  670           127510           2.547           4.307        1
  671           127700           2.547           3.922        2
  672           127890           2.547           3.021        3
  673           128080           2.547             2.9        4
  674           128270           2.547           2.859        0
  675           128460           2.547           2.808        0
  676           128650           2.547           2.755        1
  677           128840           2.547           2.756        2
Optimization terminated: time limit exceeded.
