Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  370         74000         0.0145907           2.21361
  371         74200         0.0145904           2.21262
  372         74400         0.0145896           2.20994
  373         74600         0.0145911           2.21503
  374         74800         0.0145922           2.21967
  375         75000         0.0145898           2.21129
  376         75200           0.01459           1.00823
  377         75400         0.0145905             2.213
  378         75600         0.0145902           2.21224
  379         75800         0.0145926           2.22005
  380         76000         0.0145922           2.21902
  381         76200         0.0145903           2.21053
  382         76400         0.0145895           2.20763
  383         76600         0.0145901           2.20958
  384         76800         0.0145893           2.20696
  385         77000         0.0145901           2.20968
  386         77200         0.0145917             2.215
  387         77400         0.0145909           2.21225
  388         77600         0.0145897           2.20833
  389         77800         0.0145911           2.21311
  390         78000         0.0145903           2.21032

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  391         78200         0.0145912           2.21335
  392         78400         0.0145905           2.17621
  393         78600         0.0145912           2.21314
  394         78800         0.0145915           2.21418
  395         79000          0.014592           2.21597
  396         79200         0.0145918           2.21511
  397         79400         0.0145934           2.09691
  398         79600         0.0145926           2.21796
  399         79800         0.0145912            2.2133
  400         80000         0.0145929           2.21876
  401         80200         0.0145921           2.21648
  402         80400         0.0145933           2.22032
  403         80600          0.014593           2.21903
  404         80800         0.0145901           2.21117
  405         81000        0.00978572           1.00587
  406         81200        0.00978488           2.40399
  407         81400        0.00978511            2.4058
  408         81600        0.00978582            2.4104
  409         81800        0.00978689           2.41767
  410         82000        0.00978614            2.4123
  411         82200        0.00978564           2.40936
  412         82400        0.00978684           2.41714
  413         82600         0.0097871           2.41076
  414         82800        0.00978749           2.41354
  415         83000        0.00978826           2.41862
  416         83200        0.00978721           2.41163
  417         83400        0.00978686           2.40925
  418         83600        0.00978763           2.41428
  419         83800        0.00978765           2.41445
  420         84000        0.00978632           2.40562

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  421         84200        0.00978636           2.40566
  422         84400        0.00978716           2.41101
  423         84600        0.00978766           2.41459
  424         84800        0.00978754           2.41354
  425         85000         0.0097887            2.4189
  426         85200        0.00978749           2.41048
  427         85400         0.0097867           2.40536
  428         85600        0.00978702           2.40717
  429         85800        0.00985805           2.39828
  430         86000        0.00985653           2.38844
  431         86200        0.00985788           2.39713
  432         86400        0.00985859           1.01168
  433         86600        0.00985701           2.39127
  434         86800         0.0098584           2.40059
  435         87000        0.00985828            2.3995
  436         87200        0.00985757           2.39521
  437         87400        0.00985871           2.40238
  438         87600        0.00985685           2.39029
  439         87800        0.00985716           2.39217
  440         88000        0.00985633           2.38675
  441         88200        0.00985714           2.39198
  442         88400        0.00985813           2.39853
  443         88600        0.00985731           2.39334
  444         88800        0.00985681           2.39003
  445         89000        0.00985795           2.39771
  446         89200        0.00985749           2.39485
  447         89400        0.00985626           2.38695
  448         89600        0.00985651           2.38848
  449         89800        0.00985635           2.38304
  450         90000        0.00985702           2.39156

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  451         90200        0.00985817           2.39919
  452         90400        0.00985638           2.39873
  453         90600        0.00985522           2.39193
  454         90800        0.00985681           2.40232
  455         91000        0.00985591            2.3965
  456         91200        0.00985604           2.39702
  457         91400        0.00985326           2.19864
  458         91600        0.00985446           2.38561
  459         91800        0.00985377           2.38083
  460         92000        0.00985279           2.37978
  461         92200        0.00985255           2.37808
  462         92400        0.00985262           2.37841
  463         92600        0.00985316           2.38207
  464         92800        0.00985414           2.38836
  465         93000        0.00985395           2.38722
  466         93200        0.00985365            2.3853
  467         93400        0.00985407           2.38895
  468         93600        0.00985327           2.38397
  469         93800        0.00985331           2.38439
  470         94000        0.00985458           2.39225
  471         94200        0.00985382           2.38738
  472         94400        0.00985327           2.38388
  473         94600        0.00985364           2.38621
  474         94800        0.00985244           2.37862
  475         95000        0.00985297           2.38203
  476         95200        0.00985294           2.38192
  477         95400        0.00985395           2.38834
  478         95600        0.00992444           2.36581
  479         95800        0.00992468           2.36736
  480         96000        0.00992275           2.35503

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  481         96200        0.00992371            2.3609
  482         96400        0.00992572           2.37166
  483         96600        0.00992502           2.36733
  484         96800        0.00992319           2.35598
  485         97000        0.00992462           2.36519
  486         97200        0.00992547           2.37011
  487         97400        0.00683762           2.99296
  488         97600        0.00683794           2.99977
  489         97800        0.00683932            3.0316
  490         98000        0.00688907           2.99854
  491         98200        0.00688877           2.99123
  492         98400        0.00688853           2.98903
  493         98600        0.00688881           2.99375
  494         98800        0.00662227           2.98324
  495         99000        0.00662276           2.99286
  496         99200        0.00662296           2.99822
  497         99400        0.00662324           3.00486
  498         99600         0.0066217           2.97043
  499         99800        0.00662281           2.99377
  500        100000        0.00662333           3.00563
  501        100200        0.00667203           2.98448
  502        100400        0.00667132           2.96996
  503        100600        0.00667097           2.96289
  504        100800        0.00662234           2.67084
  505        101000        0.00662243           2.99141
  506        101200        0.00662264           2.99389
  507        101400        0.00662184           2.97727
  508        101600        0.00662257           2.99228
  509        101800          0.006622           2.98023
  510        102000        0.00662228           2.98706

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  511        102200        0.00662316           3.00603
  512        102400        0.00662279           2.76411
  513        102600         0.0066232           3.00496
  514        102800        0.00662189           2.97763
  515        103000        0.00662261           2.99321
  516        103200        0.00662209            2.9808
  517        103400        0.00662202           2.97938
  518        103600        0.00662205           2.98014
  519        103800        0.00662191           1.18387
  520        104000         0.0066218           2.97516
  521        104200         0.0066217           2.97476
  522        104400        0.00662218           2.98516
  523        104600         0.0066222           2.98596
  524        104800        0.00662229           2.98712
  525        105000        0.00662249           2.98703
  526        105200        0.00662432           2.98183
  527        105400        0.00662449            2.9864
  528        105600        0.00667479           3.00175
  529        105800        0.00667363           2.97691
  530        106000        0.00667362           2.97235
  531        106200        0.00667366           2.97117
  532        106400         0.0068497           3.06388
  533        106600        0.00684935           3.05649
  534        106800        0.00684786           3.06045
  535        107000        0.00684744           3.05154
  536        107200        0.00684644           3.04695
  537        107400        0.00684632           3.06707
  538        107600        0.00684643           3.07706
  539        107800        0.00684507           3.04808
  540        108000        0.00684617            3.0779

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  541        108200        0.00684539           3.05838
  542        108400        0.00684425           3.03383
  543        108600        0.00684517           3.05315
  544        108800        0.00684547            3.0595
  545        109000        0.00684591           3.06989
  546        109200        0.00684612           1.67642
  547        109400        0.00684504           3.04964
  548        109600        0.00684441           3.03462
  549        109800        0.00684545           3.05843
  550        110000        0.00684585           3.06732
  551        110200         0.0068452           3.05282
  552        110400        0.00684587           3.06709
  553        110600        0.00684632           3.07944
  554        110800        0.00684559            3.0681
  555        111000        0.00684583           3.07341
  556        111200        0.00684459           3.04674
  557        111400        0.00684538           3.06366
  558        111600        0.00684679            3.0963
  559        111800        0.00684469           3.04725
  560        112000        0.00684463            3.0516
  561        112200        0.00684524           3.06464
  562        112400        0.00684571           3.07477
  563        112600        0.00672314           2.99375
  564        112800        0.00672369            1.6988
  565        113000        0.00672317           2.99505
  566        113200        0.00672451           3.02166
  567        113400        0.00672451           3.01226
  568        113600        0.00672473           3.01776
  569        113800        0.00672509           3.02525
  570        114000        0.00672473           3.01619

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  571        114200        0.00667472           2.87448
  572        114400        0.00667479           3.02073
  573        114600        0.00667665           3.06081
  574        114800        0.00667552           3.03588
  575        115000        0.00667482           3.02169
  576        115200        0.00667453           3.02178
  577        115400        0.00667419            3.0157
  578        115600        0.00667521           3.03705
  579        115800        0.00667512           3.03462
  580        116000        0.00667409           3.01254
  581        116200        0.00667467           3.02585
  582        116400        0.00667458           3.02311
  583        116600        0.00667451           3.02307
  584        116800        0.00667504           3.03428
  585        117000        0.00667544           3.04288
  586        117200        0.00667507            3.0344
