Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  339            64620            3.44           4.098        4
  340            64810            3.44           4.308        0
  341            65000            3.44           3.852        0
  342            65190            3.44           3.859        0
  343            65380            3.44           3.774        1
  344            65570            3.44           4.063        2
  345            65760            3.44            4.01        3
  346            65950            3.44           4.543        0
  347            66140            3.44           3.634        0
  348            66330            3.44            3.91        0
  349            66520            3.44           4.003        1
  350            66710            3.44           3.973        0
  351            66900            3.44           4.143        0
  352            67090            3.44           4.495        0
  353            67280            3.44           5.617        0
  354            67470            3.44           10.13        0
  355            67660            3.44           11.92        0
  356            67850            3.44           12.14        1
  357            68040            3.44            14.9        2
  358            68230            3.44           14.24        3
  359            68420            3.44           10.48        0
  360            68610            3.44           9.651        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  361            68800            3.44           8.868        1
  362            68990            3.44           8.565        2
  363            69180            3.44           8.048        3
  364            69370            3.44           6.703        4
  365            69560            3.44           5.615        5
  366            69750            3.44            4.81        6
  367            69940            3.44           4.238        7
  368            70130            3.44           3.992        0
  369            70320            3.44           3.983        0
  370            70510            3.44           4.011        0
  371            70700            3.44           4.384        0
  372            70890            3.44            4.73        1
  373            71080            3.44           4.185        2
  374            71270           3.439           3.904        0
  375            71460           3.439           4.701        1
  376            71650           3.439           3.945        0
  377            71840           3.439           4.409        0
  378            72030           3.439           4.854        0
  379            72220           3.439           5.489        0
  380            72410           3.439           6.911        0
  381            72600           3.439           7.997        0
  382            72790           3.439           11.66        1
  383            72980           3.439           13.86        2
  384            73170           3.439           16.68        3
  385            73360           3.439           12.82        4
  386            73550           3.439           10.09        5
  387            73740           3.439           7.378        6
  388            73930           3.439           6.849        7
  389            74120           3.439           4.847        8
  390            74310           3.439           4.623        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  391            74500           3.439           4.546        0
  392            74690           3.439           4.332        1
  393            74880           3.439           4.349        0
  394            75070           3.439           4.039        0
  395            75260           3.439            4.02        0
  396            75450           3.439           5.046        0
  397            75640           3.439           5.928        0
  398            75830           3.439           6.089        1
  399            76020           3.439           6.377        2
  400            76210           3.439           5.694        0
  401            76400           3.439           6.612        0
  402            76590           3.439            10.1        0
  403            76780           3.439           10.66        1
  404            76970           3.439           10.75        2
  405            77160           3.439           9.263        3
  406            77350           3.439           7.376        4
  407            77540           3.439           6.524        5
  408            77730           3.439           6.191        6
  409            77920           3.439           5.879        7
  410            78110           3.439           4.517        0
  411            78300           3.439            4.19        0
  412            78490           3.439            4.98        1
  413            78680           3.439           4.471        0
  414            78870           3.439           4.524        1
  415            79060           3.439            3.87        0
  416            79250           3.439           3.786        1
  417            79440           3.439           3.803        2
  418            79630           3.439           3.707        0
  419            79820           3.439           4.125        0
  420            80010           3.439           4.013        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  421            80200           3.439           3.858        1
  422            80390           3.439           3.708        2
  423            80580           3.439           3.791        0
  424            80770           3.439           4.002        0
  425            80960           3.439           4.179        1
  426            81150           3.439           4.147        2
  427            81340           3.439           3.937        3
  428            81530           3.439           3.851        0
  429            81720           3.439           3.693        1
  430            81910           3.439           3.802        0
  431            82100           3.439           3.839        0
  432            82290           3.439           4.194        0
  433            82480           3.439           3.982        1
  434            82670           3.439           4.081        0
  435            82860           3.439           4.488        0
  436            83050           3.439           4.765        0
  437            83240           3.439           5.787        1
  438            83430           3.439           4.844        0
  439            83620           3.439            4.98        0
  440            83810           3.439           6.831        0
  441            84000           3.439           9.519        1
  442            84190           3.439           9.428        2
  443            84380           3.439            7.62        3
  444            84570           3.439           5.833        4
  445            84760           3.439           5.111        5
  446            84950           3.439           5.307        6
  447            85140           3.439           4.406        7
  448            85330           3.439           4.503        0
  449            85520           3.439           3.972        1
  450            85710           3.439           3.929        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  451            85900           3.439           3.812        3
  452            86090           3.439           4.051        0
  453            86280           3.439            4.51        1
  454            86470           3.439           3.786        0
  455            86660           3.439           3.905        1
  456            86850           3.439           3.679        0
  457            87040           3.439           3.724        0
  458            87230           3.439           3.765        1
  459            87420           3.439           4.536        0
  460            87610           3.439           3.768        0
  461            87800           3.438           3.898        0
  462            87990           3.438           3.892        1
  463            88180           3.438           3.623        0
  464            88370           3.438           3.751        0
  465            88560           3.438           4.073        0
  466            88750           3.438           4.419        1
  467            88940           3.438           4.375        2
  468            89130           3.438           4.299        0
  469            89320           3.438           4.595        0
  470            89510           3.438           4.741        1
  471            89700           3.438           4.482        0
  472            89890           3.438            4.58        1
  473            90080           3.438           4.378        2
  474            90270           3.438           4.251        3
  475            90460           3.438           4.594        4
  476            90650           3.438           4.229        0
  477            90840           3.438           4.034        1
  478            91030           3.438           4.054        0
  479            91220           3.438           4.264        0
  480            91410           3.438           3.867        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  481            91600           3.438           4.408        0
  482            91790           3.438           4.778        1
  483            91980           3.438           4.821        0
  484            92170           3.438           4.723        0
  485            92360           3.438           5.046        1
  486            92550           3.438           5.294        2
  487            92740           3.438           4.658        3
  488            92930           3.438           4.512        4
  489            93120           3.438           4.062        5
  490            93310           3.438           4.471        0
  491            93500           3.437           3.739        0
  492            93690           3.437           3.792        0
  493            93880           3.437           4.257        1
  494            94070           3.437           4.367        0
  495            94260           3.437           4.001        0
  496            94450           3.437           4.349        1
  497            94640           3.437           4.233        0
  498            94830           3.437           4.802        0
  499            95020           3.437           5.308        1
  500            95210           3.437           5.535        2
  501            95400           3.437           4.847        3
  502            95590           3.437           4.139        0
  503            95780           3.437           4.347        1
  504            95970           3.437           4.207        0
  505            96160           3.437           4.265        0
  506            96350           3.437           4.758        1
  507            96540           3.437           4.378        2
  508            96730           3.437           4.215        3
  509            96920           3.437           3.729        4
  510            97110           3.437           3.734        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  511            97300           3.437           3.984        1
  512            97490           3.437           4.307        0
  513            97680           3.437           3.747        0
  514            97870           3.437           3.757        1
  515            98060           3.437           3.767        0
  516            98250           3.437           4.503        1
  517            98440           3.436           3.797        0
  518            98630           3.436           4.219        1
  519            98820           3.436           4.249        0
  520            99010           3.436           4.184        1
  521            99200           3.436           3.896        0
  522            99390           3.436           3.969        0
  523            99580           3.436           4.421        0
  524            99770           3.436           4.667        1
  525            99960           3.436           4.419        0
  526           100150           3.436           4.457        0
  527           100340           3.436           5.709        0
  528           100530           3.436           7.489        1
  529           100720           3.436           6.872        0
  530           100910           3.436           7.636        0
  531           101100           3.436           11.21        1
  532           101290           3.436           11.81        0
  533           101480           3.436           10.07        0
  534           101670           3.436           15.53        1
  535           101860           3.436           12.01        2
  536           102050           3.436           11.47        0
  537           102240           3.436            13.3        1
  538           102430           3.436           10.63        2
  539           102620           3.436           9.265        0
  540           102810           3.436           11.73        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  541           103000           3.436            7.48        0
  542           103190           3.436           11.06        1
  543           103380           3.436           9.681        2
